StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
0.06429893,-0.6989935622021136,0.05306823,-0.6989935622021136
0.07750856,-0.6739792281665661,0.0155038,-0.6739792281665661
0.084443495,-0.65915400324962,-0.0053677,-0.65915400324962
0.093873784,-0.6489992295835182,-0.03787545,-0.6489992295835182
0.10871991,-0.6341009383371073,-0.05301116,-0.6341009383371073
0.14513534,-0.6090812753647908,-0.06446939,-0.6090812753647908
0.17547485,-0.5942726646918904,-0.047478292,-0.5942726646918904
0.24759421,-0.5692099788303083,-0.0035811428,-0.5692099788303083
0.3589233,-0.5441837924819152,0.044328023,-0.5441837924819152
0.4444103,-0.5293958821146988,0.05910721,-0.5293958821146988
0.51529485,-0.5191993836668145,0.068206266,-0.5191993836668145
0.62282497,-0.5043213261403885,0.06930036,-0.5043213261403885
0.8085836,-0.47928697040499657,0.06569205,-0.47928697040499657
0.968739,-0.4542994607084627,0.0740347,-0.4542994607084627
1.0443673,-0.4394360021664133,0.100064196,-0.4394360021664133
1.1918609,-0.4143911195959682,0.16947962,-0.4143911195959682
1.1918609,-0.4143911195959682,0.16947962,-0.4143911195959682
1.3899331,-0.38939953775011094,0.27900678,-0.38939953775011094
1.5138307,-0.37455573684032667,0.3759619,-0.37455573684032667
1.7724389,-0.3494967811010568,0.54833525,-0.3494967811010568
2.002195,-0.3244996147917591,0.7566846,-0.3244996147917591
2.1204734,-0.3096837096135346,0.91748756,-0.3096837096135346
2.364036,-0.28460498941515416,1.1855204,-0.28460498941515416
2.364036,-0.28460498941515416,1.1855204,-0.28460498941515416
2.705376,-0.25959969183340725,1.4924179,-0.25959969183340725
3.008933,-0.24482646915723802,1.7001128,-0.24482646915723802
3.568149,-0.21971800108320666,2.1050117,-0.21971800108320666
4.2075944,-0.19469976887505547,2.6729445,-0.19469976887505547
4.653384,-0.18000000000000002,3.1025362,-0.18000000000000002
4.9314914,-0.16981166037701886,3.5171804,-0.16981166037701886
5.542112,-0.1548418548067673,4.1622167,-0.1548418548067673
6.7771416,-0.12979984591670363,5.7124248,-0.12979984591670363
8.499913,-0.10495713410721542,7.9575043,-0.10495713410721542
10.223938,-0.09000000000000001,9.47396,-0.09000000000000001
12.9313545,-0.06489992295835181,12.9621,-0.06489992295835181
12.9313545,-0.06489992295835181,12.9621,-0.06489992295835181
15.589901,-0.04024922359499622,16.42518,-0.04024922359499622
17.466663,-0.025455844122715714,17.58599,-0.025455844122715714
18.228664,-0.0,18.228664,-0.0
16.964329,0.025455844122715714,16.147604,0.025455844122715714
15.550217,0.04024922359499622,14.33971,0.04024922359499622
12.5423765,0.06489992295835181,10.796464,0.06489992295835181
12.5423765,0.06489992295835181,10.796464,0.06489992295835181
9.707669,0.09000000000000001,7.7828465,0.09000000000000001
8.25083,0.10495713410721542,6.462359,0.10495713410721542
6.601614,0.12979984591670363,4.6511884,0.12979984591670363
5.471933,0.1548418548067673,3.4337013,0.1548418548067673
4.9638715,0.16981166037701886,2.9281526,0.16981166037701886
4.5936813,0.18000000000000002,2.6837742,0.18000000000000002
4.168586,0.19469976887505547,2.3656209,0.19469976887505547
3.4709156,0.21971800108320666,1.9904813,0.21971800108320666
2.8984365,0.24482646915723802,1.647489,0.24482646915723802
2.5770009,0.25959969183340725,1.4726028,0.25959969183340725
2.2197137,0.28460498941515416,1.1230189,0.28460498941515416
2.2197137,0.28460498941515416,1.1230189,0.28460498941515416
2.0083797,0.3096837096135346,0.81648326,0.3096837096135346
1.9196947,0.3244996147917591,0.6597537,0.3244996147917591
1.7896123,0.3494967811010568,0.45579836,0.3494967811010568
1.5720384,0.37455573684032667,0.31553668,0.37455573684032667
1.4201409,0.38939953775011094,0.23576052,0.38939953775011094
1.1474376,0.4143911195959682,0.15658496,0.4143911195959682
1.1474376,0.4143911195959682,0.15658496,0.4143911195959682
0.9306274,0.4394360021664133,0.09633448,0.4394360021664133
0.8561835,0.4542994607084627,0.071888104,0.4542994607084627
0.69957167,0.47928697040499657,0.04248585,0.47928697040499657
0.53339994,0.5043213261403885,0.029402196,0.5043213261403885
0.44629133,0.5191993836668145,0.034247063,0.5191993836668145
0.3707846,0.5293958821146988,0.032144606,0.5293958821146988
0.29303828,0.5441837924819152,0.040641896,0.5441837924819152
0.18295532,0.5692099788303083,0.04762719,0.5692099788303083
0.113609016,0.5942726646918904,0.04464765,0.5942726646918904
0.08156364,0.6090812753647908,0.029761704,0.6090812753647908
0.05253864,0.6341009383371073,0.008703688,0.6341009383371073
0.040810216,0.6489992295835182,-0.011746211,0.6489992295835182
0.04186355,0.65915400324962,-0.007573776,0.65915400324962
0.040062,0.6739792281665661,-0.015790317,0.6739792281665661
0.046870083,0.6989935622021136,-0.0015936451,0.6989935622021136
