StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
0.64781547,-0.7040738597618861,0.33539984,-0.7040738597618861
0.8124771,-0.6792466415080755,0.4531926,-0.6792466415080755
0.9598077,-0.6640512028450818,0.5426612,-0.6640512028450818
1.1950452,-0.6391901125643293,0.73387104,-0.6391901125643293
1.4035213,-0.6240576896409498,0.8767854,-0.6240576896409498
1.7316777,-0.5991594111753566,1.1789061,-0.5991594111753566
1.7316777,-0.5991594111753566,1.1789061,-0.5991594111753566
2.1207216,-0.5743100208075774,1.5748317,-0.5743100208075774
2.4623835,-0.5591600844123265,1.8643632,-0.5591600844123265
2.9790065,-0.5342695948676099,2.461304,-0.5342695948676099
3.5718772,-0.5094349811310567,3.221444,-0.5094349811310567
4.086063,-0.4942630878388554,3.7632565,-0.4942630878388554
4.830961,-0.4693825731745908,4.858575,-0.4693825731745908
4.830961,-0.4693825731745908,4.858575,-0.4693825731745908
5.658707,-0.4445672052682249,6.215401,-0.4445672052682249
6.3747935,-0.42936697590755635,7.156458,-0.42936697590755635
7.369823,-0.4044996909763962,9.02398,-0.4044996909763962
8.227798,-0.38939953775011094,10.286428,-0.38939953775011094
9.408237,-0.3644722211636986,12.771153,-0.3644722211636986
10.6867285,-0.3396233207540377,15.671015,-0.3396233207540377
10.6867285,-0.3396233207540377,15.671015,-0.3396233207540377
12.068079,-0.31487140232164623,18.97536,-0.31487140232164623
13.353351,-0.2995797055876783,21.140675,-0.2995797055876783
14.999746,-0.27475807540452746,25.039474,-0.27475807540452746
16.568298,-0.25959969183340725,27.519707,-0.25959969183340725
18.543173,-0.2346912865872954,31.770327,-0.2346912865872954
20.461655,-0.21971800108320666,34.390293,-0.21971800108320666
22.81179,-0.19469976887505547,38.565872,-0.19469976887505547
22.81179,-0.19469976887505547,38.565872,-0.19469976887505547
25.301191,-0.16981166037701886,42.30081,-0.16981166037701886
27.888468,-0.1451206394693739,45.328903,-0.1451206394693739
30.613459,-0.12979984591670363,47.30399,-0.12979984591670363
33.38942,-0.10495713410721542,48.971,-0.10495713410721542
36.32029,-0.09000000000000001,50.153072,-0.09000000000000001
39.0163,-0.06489992295835181,50.12269,-0.06489992295835181
39.0163,-0.06489992295835181,50.12269,-0.06489992295835181
41.397373,-0.04024922359499622,48.88215,-0.04024922359499622
44.115913,-0.025455844122715714,48.602596,-0.025455844122715714
45.811256,-0.0,45.811256,-0.0
46.858833,0.025455844122715714,42.224293,0.025455844122715714
48.567368,0.04024922359499622,40.813473,0.04024922359499622
48.44124,0.06489992295835181,36.503647,0.06489992295835181
48.44124,0.06489992295835181,36.503647,0.06489992295835181
47.544422,0.09000000000000001,32.053566,0.09000000000000001
47.76767,0.10495713410721542,30.213003,0.10495713410721542
45.699326,0.12979984591670363,25.90192,0.12979984591670363
44.94942,0.1451206394693739,24.06401,0.1451206394693739
41.979115,0.16981166037701886,20.216806,0.16981166037701886
38.670525,0.19469976887505547,16.796862,0.19469976887505547
38.670525,0.19469976887505547,16.796862,0.19469976887505547
35.177837,0.21971800108320666,13.820049,0.21971800108320666
33.445137,0.2346912865872954,12.5252,0.2346912865872954
29.914112,0.25959969183340725,10.1559305,0.25959969183340725
28.062712,0.27475807540452746,9.099845,0.27475807540452746
24.78861,0.2995797055876783,7.2713284,0.2995797055876783
23.03183,0.31487140232164623,6.440767,0.31487140232164623
20.177362,0.3396233207540377,5.0663276,0.3396233207540377
20.177362,0.3396233207540377,5.0663276,0.3396233207540377
17.597137,0.3644722211636986,3.9425032,0.3644722211636986
15.2873745,0.38939953775011094,3.032523,0.38939953775011094
14.101962,0.4044996909763962,2.6202164,0.4044996909763962
12.20214,0.42936697590755635,1.9778106,0.42936697590755635
11.216263,0.4445672052682249,1.6886001,0.4445672052682249
9.658485,0.4693825731745908,1.2516525,0.4693825731745908
9.658485,0.4693825731745908,1.2516525,0.4693825731745908
8.273898,0.4942630878388554,0.91797215,0.4942630878388554
7.5588245,0.5094349811310567,0.7718888,0.5094349811310567
6.42003,0.5342695948676099,0.5596835,0.5342695948676099
5.4117193,0.5591600844123265,0.40471488,0.5591600844123265
4.891748,0.5743100208075774,0.33855027,0.5743100208075774
4.0737906,0.5991594111753566,0.24634507,0.5991594111753566
4.0737906,0.5991594111753566,0.24634507,0.5991594111753566
3.3625622,0.6240576896409498,0.18158735,0.6240576896409498
2.9982917,0.6391901125643293,0.15372095,0.6391901125643293
2.442793,0.6640512028450818,0.11671849,0.6640512028450818
2.1572974,0.6792466415080755,0.100014605,0.6792466415080755
1.7367051,0.7040738597618861,0.07863468,0.7040738597618861
