StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
0.16965051,-0.9044888059008802,-0.005355032,-0.9044888059008802
0.19603577,-0.8891344105364498,-0.015604841,-0.8891344105364498
0.24075381,-0.8643749186550939,-0.0637879,-0.8643749186550939
0.26087776,-0.8490583018850945,-0.07614444,-0.8490583018850945
0.3062247,-0.8242742262135825,-0.11657488,-0.8242742262135825
0.32779327,-0.8089993819527924,-0.12095156,-0.8089993819527924
0.3829593,-0.7841887527885109,-0.13433006,-0.7841887527885109
0.3829593,-0.7841887527885109,-0.13433006,-0.7841887527885109
0.4472744,-0.7594208319502437,-0.12246767,-0.7594208319502437
0.52764,-0.7346999387505079,-0.086445175,-0.7346999387505079
0.6032937,-0.7193246832967711,-0.052661214,-0.7193246832967711
0.736726,-0.6945761297366907,0.0114282975,-0.6945761297366907
0.8558677,-0.6792466415080755,0.058837786,-0.6792466415080755
0.91363513,-0.6698805863734223,0.085479945,-0.6698805863734223
1.0690267,-0.6544677226571224,0.13827294,-0.6544677226571224
1.3511653,-0.6297428046432925,0.21938916,-0.6297428046432925
1.5770231,-0.6143777339715365,0.27738848,-0.6143777339715365
2.018534,-0.5896202167497312,0.3620873,-0.5896202167497312
2.3492057,-0.5743100208075774,0.42663988,-0.5743100208075774
3.0111363,-0.5495161508090549,0.5282243,-0.5495161508090549
3.0111363,-0.5495161508090549,0.5282243,-0.5495161508090549
3.8186655,-0.524785670536077,0.65574515,-0.524785670536077
4.373124,-0.5094349811310567,0.7687174,-0.5094349811310567
5.3821282,-0.4846648326421054,0.98916143,-0.4846648326421054
6.0270767,-0.4693825731745908,1.1767144,-0.4693825731745908
7.152786,-0.4445672052682249,1.5663756,-0.4445672052682249
7.836856,-0.42936697590755635,1.8781675,-0.42936697590755635
8.313618,-0.4198285364288617,2.1085296,-0.4198285364288617
9.033259,-0.4044996909763962,2.5207791,-0.4044996909763962
10.273906,-0.37971041597512184,3.366811,-0.37971041597512184
11.573555,-0.3550154926196884,4.44729,-0.3550154926196884
12.418955,-0.3396233207540377,5.202599,-0.3396233207540377
13.888032,-0.31487140232164623,6.7123284,-0.31487140232164623
14.871661,-0.2995797055876783,7.738308,-0.2995797055876783
15.477065,-0.2902412789387478,8.55471,-0.2902412789387478
16.62435,-0.27475807540452746,9.789517,-0.27475807540452746
18.610998,-0.2500639918100965,12.283091,-0.2500639918100965
20.113108,-0.2346912865872954,13.9175005,-0.2346912865872954
22.779953,-0.20991426821443085,17.284042,-0.20991426821443085
24.795322,-0.19469976887505547,19.413572,-0.19469976887505547
25.947453,-0.18532134253776603,21.316202,-0.18532134253776603
28.409128,-0.16981166037701886,23.862381,-0.16981166037701886
32.585094,-0.1451206394693739,28.992222,-0.1451206394693739
35.61423,-0.12979984591670363,32.005577,-0.12979984591670363
40.545715,-0.10495713410721542,37.863785,-0.10495713410721542
43.69306,-0.09000000000000001,40.888565,-0.09000000000000001
48.342514,-0.06489992295835181,46.4091,-0.06489992295835181
48.342514,-0.06489992295835181,46.4091,-0.06489992295835181
51.876812,-0.04024922359499622,50.788445,-0.04024922359499622
53.215282,-0.025455844122715714,52.261467,-0.025455844122715714
53.857323,-0.0,53.857323,-0.0
52.38049,0.025455844122715714,53.12618,0.025455844122715714
50.298634,0.04024922359499622,51.64061,0.04024922359499622
46.348377,0.06489992295835181,47.925335,0.06489992295835181
46.348377,0.06489992295835181,47.925335,0.06489992295835181
41.617023,0.09000000000000001,42.821156,0.09000000000000001
38.348064,0.10495713410721542,39.677185,0.10495713410721542
33.71502,0.12979984591670363,33.961494,0.12979984591670363
30.784853,0.1451206394693739,30.806456,0.1451206394693739
26.946669,0.16981166037701886,25.662367,0.16981166037701886
24.597841,0.18532134253776603,22.973974,0.18532134253776603
23.573107,0.19469976887505547,21.156347,0.19469976887505547
21.617702,0.20991426821443085,18.881441,0.20991426821443085
19.03958,0.2346912865872954,15.466297,0.2346912865872954
17.519985,0.2500639918100965,13.691633,0.2500639918100965
15.542809,0.27475807540452746,11.167022,0.27475807540452746
14.356655,0.2902412789387478,9.7907295,0.2902412789387478
13.817348,0.2995797055876783,9.075585,0.2995797055876783
12.815747,0.31487140232164623,7.9117484,0.31487140232164623
11.455499,0.3396233207540377,6.3296375,0.3396233207540377
10.67329,0.3550154926196884,5.434005,0.3550154926196884
9.562193,0.37971041597512184,4.240001,0.37971041597512184
8.507659,0.4044996909763962,3.2433178,0.4044996909763962
7.8803144,0.4198285364288617,2.7040665,0.4198285364288617
7.4562,0.42936697590755635,2.4337564,0.42936697590755635
6.831733,0.4445672052682249,2.008059,0.4445672052682249
5.7473774,0.4693825731745908,1.4726762,0.4693825731745908
5.084004,0.4846648326421054,1.1918023,0.4846648326421054
4.035572,0.5094349811310567,0.86801374,0.5094349811310567
3.4242024,0.524785670536077,0.6919992,0.524785670536077
