StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
0.36947465,-0.894221449082944,0.05735232,-0.894221449082944
0.41231066,-0.8827343881372246,0.052496642,-0.8827343881372246
0.46810687,-0.8688613238025964,0.060595836,-0.8688613238025964
0.59165335,-0.8435069649979188,0.069213375,-0.8435069649979188
0.74675125,-0.8181589087701729,0.08426782,-0.8181589087701729
0.74675125,-0.8181589087701729,0.08426782,-0.8181589087701729
0.94181925,-0.7928177596396287,0.10659349,-0.7928177596396287
1.1870522,-0.7674842017918024,0.1373235,-0.7674842017918024
1.3377078,-0.7536391709564997,0.15954123,-0.7536391709564997
1.6827482,-0.7282774196691808,0.20799676,-0.7282774196691808
1.8780519,-0.7168430790626357,0.23488964,-0.7168430790626357
2.1125026,-0.702922470831599,0.27510872,-0.702922470831599
2.6441429,-0.6775750880898737,0.3693057,-0.6775750880898737
3.2963321,-0.6522361535517638,0.5019828,-0.6522361535517638
3.6796753,-0.6384293226348552,0.5976347,-0.6384293226348552
4.088255,-0.626906691621648,0.6873206,-0.626906691621648
4.5513616,-0.6130579091733506,0.81968606,-0.6130579091733506
5.590034,-0.5876937978233224,1.1215012,-0.5876937978233224
6.8095913,-0.5623379766652792,1.5236263,-0.5623379766652792
6.8095913,-0.5623379766652792,1.5236263,-0.5623379766652792
8.219631,-0.5369916200463468,2.0497115,-0.5369916200463468
9.825391,-0.5116561345278683,2.7275867,-0.5116561345278683
10.700516,-0.49785540069381595,3.1818109,-0.49785540069381595
12.610419,-0.47247857094264084,4.16548,-0.47247857094264084
13.631123,-0.4610249450951652,4.678808,-0.4610249450951652
14.725219,-0.447110724541472,5.399547,-0.447110724541472
17.05203,-0.4217534824989594,6.934579,-0.4217534824989594
19.60446,-0.3964088798198144,8.827026,-0.3964088798198144
20.985453,-0.38268524925844744,10.03164,-0.38268524925844744
22.404127,-0.3710795063055895,11.137272,-0.3710795063055895
25.480457,-0.34576870882137384,13.926853,-0.34576870882137384
27.230309,-0.33190360046254397,15.654611,-0.33190360046254397
30.848972,-0.3065289545866753,19.283716,-0.3065289545866753
32.60234,-0.29522195040342114,21.172504,-0.29522195040342114
34.844173,-0.2811689883326396,23.521935,-0.2811689883326396
39.2361,-0.25582806726393414,28.395956,-0.25582806726393414
44.019897,-0.2305124725475826,33.901077,-0.2305124725475826
46.838398,-0.21674870241826136,36.942867,-0.21674870241826136
49.152336,-0.20523157651784485,39.984867,-0.20523157651784485
52.199245,-0.19134262462922372,43.271557,-0.19134262462922372
57.742535,-0.16595180023127198,49.98248,-0.16595180023127198
63.27401,-0.1405844941663198,56.839863,-0.1405844941663198
66.183784,-0.12727922061357858,60.081844,-0.12727922061357858
68.53956,-0.1152562362737913,63.524536,-0.1152562362737913
73.24237,-0.09000000000000001,69.65234,-0.09000000000000001
75.4993,-0.07636753236814714,72.26858,-0.07636753236814714
78.745056,-0.05091168824543143,76.84132,-0.05091168824543143
79.749664,-0.04024922359499622,78.614624,-0.04024922359499622
80.70103,-0.025455844122715714,79.90607,-0.025455844122715714
81.20947,-0.0,81.20947,-0.0
80.22934,0.025455844122715714,80.64488,0.025455844122715714
78.69842,0.04024922359499622,79.4759,0.04024922359499622
77.84282,0.05091168824543143,78.27022,0.05091168824543143
74.24104,0.07636753236814714,74.297264,0.07636753236814714
71.53309,0.09000000000000001,71.74483,0.09000000000000001
66.649254,0.1152562362737913,66.05882,0.1152562362737913
64.5045,0.12727922061357858,62.939003,0.12727922061357858
61.300686,0.1405844941663198,59.683136,0.1405844941663198
55.770256,0.16595180023127198,53.006893,0.16595180023127198
50.293037,0.19134262462922372,46.364147,0.19134262462922372
47.119095,0.20523157651784485,42.982925,0.20523157651784485
45.043545,0.21674870241826136,40.010426,0.21674870241826136
42.131218,0.2305124725475826,36.852432,0.2305124725475826
37.510258,0.25582806726393414,31.232603,0.25582806726393414
33.287106,0.2811689883326396,26.192335,0.2811689883326396
31.010815,0.29522195040342114,23.690014,0.29522195040342114
29.456785,0.3065289545866753,21.749603,0.3065289545866753
25.991446,0.33190360046254397,17.888683,0.33190360046254397
24.21472,0.34576870882137384,15.99852,0.34576870882137384
21.273384,0.3710795063055895,12.961696,0.3710795063055895
19.998928,0.38268524925844744,11.760724,0.38268524925844744
18.587189,0.3964088798198144,10.401965,0.3964088798198144
16.128052,0.4217534824989594,8.267892,0.4217534824989594
13.877991,0.447110724541472,6.5079174,0.447110724541472
12.754991,0.4610249450951652,5.665912,0.4610249450951652
11.82835,0.47247857094264084,5.072074,0.47247857094264084
9.977009,0.49785540069381595,3.913253,0.49785540069381595
9.082146,0.5116561345278683,3.370873,0.5116561345278683
7.5395927,0.5369916200463468,2.5598783,0.5369916200463468
6.1928697,0.5623379766652792,1.9238882,0.5623379766652792
6.1928697,0.5623379766652792,1.9238882,0.5623379766652792
5.036542,0.5876937978233224,1.4319491,0.5876937978233224
4.059979,0.6130579091733506,1.057474,0.6130579091733506
3.610739,0.626906691621648,0.8888483,0.626906691621648
3.2480721,0.6384293226348552,0.7776048,0.6384293226348552
2.881383,0.6522361535517638,0.65316826,0.6522361535517638
2.287374,0.6775750880898737,0.48236722,0.6775750880898737
1.809369,0.702922470831599,0.36080936,0.702922470831599
1.596083,0.7168430790626357,0.3068585,0.7168430790626357
1.428776,0.7282774196691808,0.27531487,0.7282774196691808
1.1284585,0.7536391709564997,0.2152244,0.7536391709564997
0.99735975,0.7674842017918024,0.1862448,0.7674842017918024
0.7907915,0.7928177596396287,0.14990605,0.7928177596396287
0.62907636,0.8181589087701729,0.12303624,0.8181589087701729
0.62907636,0.8181589087701729,0.12303624,0.8181589087701729
0.5018128,0.8435069649979188,0.10315545,0.8435069649979188
0.40061218,0.8688613238025964,0.0889993,0.8688613238025964
0.3557928,0.8827343881372246,0.07814498,0.8827343881372246
0.31917045,0.894221449082944,0.07985976,0.894221449082944
