StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
4.160966,-0.6945761297366907,0.5295251,-0.6945761297366907
4.813656,-0.6792466415080755,0.6514396,-0.6792466415080755
5.9131246,-0.6544677226571224,0.9295136,-0.6544677226571224
5.9131246,-0.6544677226571224,0.9295136,-0.6544677226571224
7.2124734,-0.6297428046432925,1.3102566,-0.6297428046432925
8.244939,-0.6143777339715365,1.5890889,-0.6143777339715365
9.940192,-0.5896202167497312,2.1955538,-0.5896202167497312
11.249611,-0.5743100208075774,2.631886,-0.5743100208075774
13.386698,-0.5495161508090549,3.561382,-0.5495161508090549
15.786542,-0.524785670536077,4.7538714,-0.524785670536077
17.589136,-0.5094349811310567,5.590996,-0.5094349811310567
18.445932,-0.500127983620193,6.262517,-0.500127983620193
20.455236,-0.4846648326421054,7.316173,-0.4846648326421054
23.57656,-0.459969564210503,9.455272,-0.459969564210503
25.888306,-0.4445672052682249,10.916196,-0.4445672052682249
29.477757,-0.4198285364288617,13.856472,-0.4198285364288617
32.108864,-0.4044996909763962,15.815202,-0.4044996909763962
36.2037,-0.37971041597512184,19.74277,-0.37971041597512184
39.205746,-0.3644722211636986,22.286346,-0.3644722211636986
40.57842,-0.3550154926196884,24.39901,-0.3550154926196884
43.88846,-0.3396233207540377,27.391405,-0.3396233207540377
48.900055,-0.31487140232164623,33.34317,-0.31487140232164623
52.729794,-0.2995797055876783,37.03801,-0.2995797055876783
58.48805,-0.27475807540452746,44.40337,-0.27475807540452746
64.60744,-0.2500639918100965,52.668537,-0.2500639918100965
69.45054,-0.2346912865872954,57.53742,-0.2346912865872954
76.29589,-0.20991426821443085,67.02355,-0.20991426821443085
76.29589,-0.20991426821443085,67.02355,-0.20991426821443085
83.32421,-0.18532134253776603,76.995804,-0.18532134253776603
88.9167,-0.16981166037701886,82.50666,-0.16981166037701886
96.10586,-0.1451206394693739,92.603294,-0.1451206394693739
101.54925,-0.12979984591670363,97.81115,-0.12979984591670363
108.1856,-0.10495713410721542,106.92122,-0.10495713410721542
112.78334,-0.09000000000000001,111.17844,-0.09000000000000001
117.98202,-0.06489992295835181,118.05303,-0.06489992295835181
117.98202,-0.06489992295835181,118.05303,-0.06489992295835181
121.82052,-0.04024922359499622,122.70171,-0.04024922359499622
123.92235,-0.025455844122715714,124.28872,-0.025455844122715714
125.15816,-0.0,125.15816,-0.0
124.616646,0.025455844122715714,123.27265,0.025455844122715714
123.335945,0.04024922359499622,121.546555,0.04024922359499622
120.06945,0.06489992295835181,116.04718,0.06489992295835181
120.06945,0.06489992295835181,116.04718,0.06489992295835181
115.32688,0.09000000000000001,108.54023,0.09000000000000001
111.24167,0.10495713410721542,104.31639,0.10495713410721542
104.794655,0.12979984591670363,94.91846,0.12979984591670363
99.58869,0.1451206394693739,89.859505,0.1451206394693739
92.333,0.16981166037701886,79.78958,0.16981166037701886
86.7371,0.18532134253776603,74.50711,0.18532134253776603
79.463,0.20991426821443085,64.775856,0.20991426821443085
79.463,0.20991426821443085,64.775856,0.20991426821443085
72.32301,0.2346912865872954,55.62979,0.2346912865872954
67.28788,0.2500639918100965,51.008636,0.2500639918100965
60.843864,0.27475807540452746,43.097237,0.27475807540452746
54.77893,0.2995797055876783,36.064293,0.2995797055876783
50.744404,0.31487140232164623,32.53478,0.31487140232164623
45.479958,0.3396233207540377,26.828485,0.3396233207540377
41.99604,0.3550154926196884,23.943188,0.3550154926196884
40.579876,0.3644722211636986,21.913153,0.3644722211636986
37.43156,0.37971041597512184,19.444624,0.37971041597512184
33.174633,0.4044996909763962,15.6292095,0.4044996909763962
30.430233,0.4198285364288617,13.710655,0.4198285364288617
26.715591,0.4445672052682249,10.832158,0.4445672052682249
24.314297,0.459969564210503,9.392128,0.459969564210503
21.086775,0.4846648326421054,7.288244,0.4846648326421054
19.003422,0.500127983620193,6.246845,0.500127983620193
18.11688,0.5094349811310567,5.5889034,0.5094349811310567
16.247257,0.524785670536077,4.761447,0.524785670536077
13.752511,0.5495161508090549,3.5875077,0.5495161508090549
11.524675,0.5743100208075774,2.6727536,0.5743100208075774
10.1686125,0.5896202167497312,2.2415977,0.5896202167497312
8.398772,0.6143777339715365,1.6438191,0.6143777339715365
7.335008,0.6297428046432925,1.3663714,0.6297428046432925
5.9808254,0.6544677226571224,0.98732775,0.6544677226571224
5.9808254,0.6544677226571224,0.98732775,0.6544677226571224
4.8379083,0.6792466415080755,0.7068525,0.6792466415080755
4.175945,0.6945761297366907,0.5802711,0.6945761297366907
