StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
0.47670323,-0.9957108013876319,0.1424255,-0.9957108013876319
0.50245625,-0.9840914591642386,0.12196884,-0.9840914591642386
0.52026707,-0.970331901979936,0.12663904,-0.970331901979936
0.59265316,-0.9449571418852817,0.1272076,-0.9449571418852817
0.70965934,-0.9195868637600257,0.15466577,-0.9195868637600257
0.8128244,-0.9059205263156367,0.18473455,-0.9059205263156367
0.8834649,-0.894221449082944,0.21012665,-0.894221449082944
1.1211501,-0.8688613238025964,0.28319547,-0.8688613238025964
1.3081788,-0.8551420934558187,0.31657505,-0.8551420934558187
1.6520097,-0.82975900115636,0.37864536,-0.82975900115636
1.7977397,-0.8181589087701729,0.40806124,-0.8181589087701729
2.062551,-0.804380506974156,0.4184471,-0.804380506974156
2.5475721,-0.7790070603017666,0.43386412,-0.7790070603017666
3.1246424,-0.7536391709564997,0.43688428,-0.7536391709564997
3.1246424,-0.7536391709564997,0.43688428,-0.7536391709564997
3.824414,-0.7282774196691808,0.45005006,-0.7282774196691808
4.2735577,-0.7145795966860515,0.4827014,-0.7145795966860515
5.2536736,-0.6891908298867594,0.5632898,-0.6891908298867594
6.4989963,-0.6638072009250879,0.71199167,-0.6638072009250879
6.4989963,-0.6638072009250879,0.71199167,-0.6638072009250879
8.080306,-0.6384293226348552,0.9495381,-0.6384293226348552
10.062681,-0.6130579091733506,1.2999784,-0.6130579091733506
11.2682,-0.5994297289924817,1.5475891,-0.5994297289924817
12.493062,-0.5876937978233224,1.794825,-0.5876937978233224
15.389966,-0.5623379766652792,2.4752824,-0.5623379766652792
17.03811,-0.5486310235486143,2.930567,-0.5486310235486143
20.584776,-0.5232399067349509,4.0038214,-0.5232399067349509
22.501812,-0.5116561345278683,4.6146255,-0.5116561345278683
24.523651,-0.49785540069381595,5.4273424,-0.49785540069381595
28.804914,-0.47247857094264084,7.2916245,-0.47247857094264084
33.375835,-0.447110724541472,9.695843,-0.447110724541472
35.69478,-0.4334974048365227,11.275884,-0.4334974048365227
38.182083,-0.4217534824989594,12.73366,-0.4217534824989594
43.170055,-0.3964088798198144,16.476353,-0.3964088798198144
45.752144,-0.38268524925844744,18.876461,-0.38268524925844744
51.01214,-0.35728979834302577,23.785679,-0.35728979834302577
