StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
0.8976746,-0.9957108013876319,0.31610647,-0.9957108013876319
0.9599762,-0.9840914591642386,0.32686228,-0.9840914591642386
1.0414339,-0.970331901979936,0.3498525,-0.970331901979936
1.2334747,-0.9449571418852817,0.39078626,-0.9449571418852817
1.490646,-0.9195868637600257,0.43902522,-0.9195868637600257
1.6620194,-0.9059205263156367,0.46980992,-0.9059205263156367
1.8309581,-0.894221449082944,0.49405643,-0.894221449082944
2.2732542,-0.8688613238025964,0.55546534,-0.8688613238025964
2.5609825,-0.8551420934558187,0.59212136,-0.8551420934558187
3.2000093,-0.82975900115636,0.66605186,-0.82975900115636
3.547416,-0.8181589087701729,0.70368874,-0.8181589087701729
3.9978755,-0.804380506974156,0.7550795,-0.804380506974156
4.9861126,-0.7790070603017666,0.86977625,-0.7790070603017666
6.204511,-0.7536391709564997,1.0264101,-0.7536391709564997
6.204511,-0.7536391709564997,1.0264101,-0.7536391709564997
7.702277,-0.7282774196691808,1.247566,-0.7282774196691808
8.607284,-0.7145795966860515,1.4100463,-0.7145795966860515
10.642852,-0.6891908298867594,1.7926588,-0.6891908298867594
13.1173525,-0.6638072009250879,2.329219,-0.6638072009250879
13.1173525,-0.6638072009250879,2.329219,-0.6638072009250879
16.0986,-0.6384293226348552,3.0695221,-0.6384293226348552
19.648314,-0.6130579091733506,4.073427,-0.6130579091733506
21.66109,-0.5994297289924817,4.7655134,-0.5994297289924817
23.815565,-0.5876937978233224,5.412121,-0.5876937978233224
28.630985,-0.5623379766652792,7.1688623,-0.5623379766652792
31.303034,-0.5486310235486143,8.35524,-0.5486310235486143
37.109283,-0.5232399067349509,10.958382,-0.5232399067349509
40.217873,-0.5116561345278683,12.328173,-0.5116561345278683
43.55012,-0.49785540069381595,14.245495,-0.49785540069381595
50.58894,-0.47247857094264084,18.33382,-0.47247857094264084
58.183987,-0.447110724541472,23.343306,-0.447110724541472
62.11592,-0.4334974048365227,26.53736,-0.4334974048365227
66.30061,-0.4217534824989594,29.39378,-0.4217534824989594
