StokesI_major,StokesI_offset_major,StokesI_minor,StokesI_offset_minor
1.0832947,-1.000255967240386,0.37493014,-1.000255967240386
1.1874841,-0.9847497143944751,0.40525514,-0.9847497143944751
1.3859173,-0.9600937454228103,0.46564525,-0.9600937454228103
1.5600959,-0.9446142069649388,0.49900177,-0.9446142069649388
1.876085,-0.919939128421006,0.56295335,-0.919939128421006
2.151832,-0.9044888059008802,0.598874,-0.9044888059008802
2.2829907,-0.895307768312104,0.6268869,-0.895307768312104
2.6373909,-0.8797931575091955,0.6654309,-0.8797931575091955
3.2495203,-0.8551420934558187,0.7355693,-0.8551420934558187
3.7729032,-0.8396570728577234,0.7842891,-0.8396570728577234
4.663389,-0.8149846624323677,0.87840044,-0.8149846624323677
5.4111423,-0.7995323633224612,0.9517109,-0.7995323633224612
6.673037,-0.7748367570011119,1.1051459,-0.7748367570011119
6.673037,-0.7748367570011119,1.1051459,-0.7748367570011119
8.20063,-0.7501919754302895,1.3231825,-0.7501919754302895
9.465564,-0.7346999387505079,1.4972793,-0.7346999387505079
11.561157,-0.7100309852393768,1.8796932,-0.7100309852393768
13.265305,-0.6945761297366907,2.1743746,-0.6945761297366907
16.0774,-0.6698805863734223,2.8208544,-0.6698805863734223
18.314095,-0.6544677226571224,3.3029966,-0.6544677226571224
21.987106,-0.6297428046432925,4.348965,-0.6297428046432925
23.169315,-0.6206738273844,4.8742023,-0.6206738273844
26.206179,-0.6050785073029781,5.7344217,-0.6050785073029781
30.989965,-0.5804825578774956,7.5404477,-0.5804825578774956
34.70537,-0.5649247737531078,8.835916,-0.5649247737531078
40.509804,-0.5402999167129309,11.515469,-0.5402999167129309
44.890987,-0.524785670536077,13.398702,-0.524785670536077
51.692326,-0.500127983620193,17.237698,-0.500127983620193
56.693443,-0.4846648326421054,19.87891,-0.4846648326421054
59.001205,-0.4755544132904247,21.959694,-0.4755544132904247
64.43303,-0.459969564210503,25.19184,-0.459969564210503
72.63304,-0.4353619184081217,31.593409,-0.4353619184081217
78.648186,-0.4198285364288617,35.873196,-0.4198285364288617
87.72963,-0.39518097120180273,44.276287,-0.39518097120180273
94.375175,-0.37971041597512184,49.75,-0.37971041597512184
104.4241,-0.3550154926196884,60.45437,-0.3550154926196884
104.4241,-0.3550154926196884,60.45437,-0.3550154926196884
114.963036,-0.3304360755123448,72.75573,-0.3304360755123448
123.02108,-0.31487140232164623,80.47454,-0.31487140232164623
134.77806,-0.2902412789387478,95.434235,-0.2902412789387478
143.8653,-0.27475807540452746,104.47968,-0.27475807540452746
156.94609,-0.2500639918100965,122.057144,-0.2500639918100965
167.05249,-0.2346912865872954,132.21391,-0.2346912865872954
181.27153,-0.20991426821443085,151.96594,-0.20991426821443085
181.27153,-0.20991426821443085,151.96594,-0.20991426821443085
195.59592,-0.18532134253776603,172.57794,-0.18532134253776603
206.7251,-0.16981166037701886,183.63924,-0.16981166037701886
220.85233,-0.1451206394693739,204.31656,-0.1451206394693739
231.25052,-0.12979984591670363,214.5525,-0.12979984591670363
243.68483,-0.10495713410721542,233.18765,-0.10495713410721542
251.96162,-0.09000000000000001,241.36523,-0.09000000000000001
261.00073,-0.06489992295835181,255.58865,-0.06489992295835181
261.00073,-0.06489992295835181,255.58865,-0.06489992295835181
267.09863,-0.04024922359499622,265.5168,-0.04024922359499622
270.01038,-0.025455844122715714,268.27045,-0.025455844122715714
270.7886,-0.0,270.7886,-0.0
268.0866,0.025455844122715714,267.8889,0.025455844122715714
264.46503,0.04024922359499622,264.02185,0.04024922359499622
256.6911,0.06489992295835181,253.87668,0.06489992295835181
256.6911,0.06489992295835181,253.87668,0.06489992295835181
246.25381,0.09000000000000001,239.58769,0.09000000000000001
237.68884,0.10495713410721542,230.65115,0.10495713410721542
224.3803,0.12979984591670363,212.26822,0.12979984591670363
214.00021,0.1451206394693739,201.55621,0.1451206394693739
199.4821,0.16981166037701886,181.39125,0.16981166037701886
188.58438,0.18532134253776603,170.08939,0.18532134253776603
174.20209,0.20991426821443085,150.116,0.20991426821443085
174.20209,0.20991426821443085,150.116,0.20991426821443085
160.07466,0.2346912865872954,130.9636,0.2346912865872954
150.29037,0.2500639918100965,120.74096,0.2500639918100965
137.37312,0.27475807540452746,103.6901,0.27475807540452746
128.54004,0.2902412789387478,94.61092,0.2902412789387478
116.931984,0.31487140232164623,80.05154,0.31487140232164623
109.04078,0.3304360755123448,72.29762,0.3304360755123448
98.620766,0.3550154926196884,60.26903,0.3550154926196884
98.620766,0.3550154926196884,60.26903,0.3550154926196884
88.69973,0.37971041597512184,49.751568,0.37971041597512184
82.15141,0.39518097120180273,44.218243,0.39518097120180273
73.21698,0.4198285364288617,35.9269,0.4198285364288617
67.30816,0.4353619184081217,31.588432,0.4353619184081217
59.312363,0.459969564210503,25.25102,0.459969564210503
54.030117,0.4755544132904247,21.965996,0.4755544132904247
51.822422,0.4846648326421054,19.974697,0.4846648326421054
46.999126,0.500127983620193,17.28063,0.500127983620193
40.516026,0.524785670536077,13.462044,0.524785670536077
36.364002,0.5402999167129309,11.536808,0.5402999167129309
30.925482,0.5649247737531078,8.870878,0.5649247737531078
27.47404,0.5804825578774956,7.544373,0.5804825578774956
23.070368,0.6050785073029781,5.749345,0.6050785073029781
20.307432,0.6206738273844,4.867598,0.6206738273844
19.222094,0.6297428046432925,4.3692217,0.6297428046432925
15.9007015,0.6544677226571224,3.3216794,0.6544677226571224
13.9125185,0.6698805863734223,2.8209693,0.6698805863734223
11.406377,0.6945761297366907,2.1644785,0.6945761297366907
9.9201975,0.7100309852393768,1.8538411,0.7100309852393768
8.073426,0.7346999387505079,1.4509202,0.7346999387505079
6.9865956,0.7501919754302895,1.2616874,0.7501919754302895
5.6477203,0.7748367570011119,1.0160589,0.7748367570011119
5.6477203,0.7748367570011119,1.0160589,0.7748367570011119
4.541021,0.7995323633224612,0.83475727,0.7995323633224612
3.9036624,0.8149846624323677,0.74993324,0.8149846624323677
3.1143928,0.8396570728577234,0.6378074,0.8396570728577234
2.660688,0.8551420934558187,0.5846627,0.8551420934558187
2.1034994,0.8797931575091955,0.51496434,0.8797931575091955
1.7833748,0.895307768312104,0.48130965,0.895307768312104
1.6521369,0.9044888059008802,0.4639026,0.9044888059008802
1.3957376,0.919939128421006,0.4387653,0.919939128421006
1.0856047,0.9446142069649388,0.4079899,0.9446142069649388
0.9085147,0.9600937454228103,0.39269492,0.9600937454228103
0.70044976,0.9847497143944751,0.37375757,0.9847497143944751
0.5802457,1.000255967240386,0.36475807,1.000255967240386
