#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 212445.594519 176204.207937 80094.7817166
-1.75 175820.508028 137812.379723 68832.4937485
-1.5 137463.002125 97352.036668 57803.2508519
-1.25 100484.163171 60166.5501427 46904.7997863
-1.0 68195.3481707 31694.3614479 36153.360926
-0.75 42193.1424868 13520.8036398 25783.8516373
-0.5 23376.1363268 4413.71219257 16453.6976004
-0.25 11533.1126089 1155.99364739 9111.89267812
0.0 4972.86094113 278.962634447 4251.72162998
0.25 1790.23809534 68.7002374495 1600.09823147
0.5 517.800696859 16.5355131692 472.745130987
0.75 126.41696419 4.18022221934 115.507603764
1.0 30.0864774367 1.24201724477 26.8516713291
1.25 7.22965261881 0.380020201758 6.27496772171
1.5 2.47476570413 0.129762995722 2.18743335646
1.75 0.778577974333 0.0834190686786 0.65808376402
2.0 0.139031781131 0.0278063562262 0.111225424905
2.25 0.0463439270436 0.0185375708175 0.0278063562262
2.5 0.00926878540873 0.0 0.00926878540873
2.75 0.0 0.0 0.0
