#Band 0: S450_JCMT
#Band 1: S500_Herschel
#Band 2: S850_JCMT
#Band 3: Band9_ALMA
#Band 4: Band8_ALMA
#Band 5: Band7_ALMA
#Band 6: Band6_ALMA
#Band 7: Band5_ALMA
#Band 8: Band4_ALMA
#Cumulative number counts at band 0
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 305904.639358 265607.538152 104265.781274
-1.75 264804.203252 224109.916054 90290.3159032
-1.5 220666.043222 179457.52381 77469.4075183
-1.25 174008.775619 133579.158588 65245.7982028
-1.0 131391.196911 93527.3928633 53256.1515686
-0.75 96496.0179915 62459.1564072 41467.3687829
-0.5 68021.271112 39051.9233054 30294.4133686
-0.25 44291.1135265 21735.450084 20647.4800528
0.0 25267.0983132 10057.7166164 13077.0234633
0.25 12462.7810542 3773.84159188 7535.51326851
0.5 5490.94897034 1229.56926597 3816.70972439
0.75 2177.96992656 382.11494726 1643.07758941
1.0 781.145427891 121.328401 612.583296448
1.25 257.876147642 40.0874968928 203.181044945
1.5 83.270768112 12.5499354434 65.039067213
1.75 28.1585700717 4.49536092323 21.8465272084
2.0 9.4541611169 1.54788716326 7.28526533126
2.25 3.1884621806 0.491245626663 2.51184084577
2.5 1.065910322 0.120494210313 0.843459472194
2.75 0.315138703897 0.0648814978611 0.222450849809
#S_low/mJy N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
0.0 714297.622087 704780.720562 581813.051443
2.0 10590.7181213 3020.84546527 6607.10537805
4.0 3785.58514299 757.167080039 2735.10734869
6.0 1912.52118124 328.967731727 1451.60302043
8.0 1138.08635398 181.30671138 885.873434225
10.0 746.30406354 115.65590433 585.240379493
12.0 520.192043494 79.9061990087 410.319861259
14.0 377.378597916 57.6703828131 297.611430689
16.0 281.520819219 43.062777009 222.089367179
18.0 216.908116135 33.3490899006 170.832983868
20.0 170.165631319 25.8784488612 133.303671748
22.0 134.879365268 20.5025533241 105.237789531
24.0 107.508641956 16.099880255 83.928851876
26.0 86.6909499278 12.8650741473 67.8845843335
28.0 70.322274896 10.3346957307 54.787790551
30.0 57.2069435427 8.33263808245 44.3882133224
32.0 46.3439270436 6.57156885479 36.1668006649
34.0 36.9546474246 5.25540132675 28.8815353336
36.0 29.7342635912 4.20802857556 23.1626947364
38.0 23.3202640884 3.30895639092 18.1297442595
40.0 17.7867991994 2.70648533935 13.7456087611
42.0 13.0319122847 2.03913278992 10.0380945977
44.0 9.0277969881 1.3810490259 6.95158905655
46.0 5.6261527431 0.861997043012 4.18949100475
48.0 2.55818477281 0.398557772575 1.82595072552
#Differential number counts at band 0
#log10(S_mid/mJy) N_total[deg^-2 dex^-1] N_bulge[deg^-2 dex^-1] N_disk[deg^-2 dex^-1]
-1.875 164401.744425 165990.488394 55901.861482
-1.625 176552.640119 178609.568976 51283.6335394
-1.375 186629.070413 183513.460885 48894.4372621
-1.125 170470.314833 160207.0629 47958.586537
-0.875 139580.715678 124272.945824 47155.1311426
-0.625 113898.987518 93628.9324074 44691.8216573
-0.375 94920.630342 69265.8928854 38587.7332633
-0.125 76096.0608531 46710.9338707 30281.826358
0.125 51217.2690358 25135.5000979 22166.040779
0.375 27887.3283355 10177.0893036 14875.2141765
0.625 13251.9161751 3389.81727482 8694.52853995
0.875 5587.29799466 1043.14618504 4121.97717183
1.125 2093.077121 324.96361643 1637.60900601
1.375 698.421518119 110.150245797 552.567910927
1.625 220.448792161 32.2182980807 172.770160019
1.875 74.8176358193 11.7898950399 58.2450475085
2.125 25.0627957452 4.22656614638 19.093697942
2.375 8.4902074344 1.4830056654 6.67352549428
2.625 3.00308647243 0.222450849809 2.48403448954
2.875 1.26055481559 0.259525991444 0.889803399238
