#Cumulative number counts
#dNcum is calculated as the number of galaxies with S>S_bin, divided by area and by mJy [units of N/deg^2/mJy]
#log10(S_bin/mJy) dNcum_band6 dNcum_band7 dNcum_band8 dn_Scuba850
-3.0 521818.5943909654 540967.693199448 541943.5074903639 541521.495098207
-2.75 442891.8537638792 527595.4608697677 539517.7784666809 534450.0765628003
-2.5 334289.4416064299 465090.43837080285 523983.980141252 491763.8996298662
-2.25 239253.05134024855 360001.0653045013 466833.2796782866 394097.97835547815
-2.0 163965.65216885722 263092.10893426987 368305.76400100096 293020.6837059581
-1.75 107981.44353117663 184527.88864641375 274396.22934862063 209501.07220869354
-1.5 68673.21292636225 124960.48093624895 197213.91571532818 143947.2538911527
-1.25 38220.46800475656 81708.0110952926 136494.5183802305 95336.39650977064
-1.0 15556.866556848248 49283.560983898824 91240.35741117306 60021.71991727174
-0.75 3975.2497892143933 23432.143644649994 57519.92987950423 32107.799328159963
-0.5 553.3286837190514 7781.799462877781 30364.20732254563 12221.75141434268
-0.25 22.88466901134728 1426.5173476700538 11668.308144250055 2971.2112448361086
0.0 4.276328159532314 94.46290781894638 2884.3199697193786 326.89391557059616
0.25 0.44155713032999555 8.050461567508883 316.9474942931373 17.964011117962546
0.5 0.03153979502357112 1.2931315959664158 24.20822326036268 3.503603181454821
0.75 0.0 0.11038928258249889 4.9779666162982545 0.31539795023571116
1.0 0.0 0.01576989751178556 0.56771631042428 0.03153979502357112
1.25 0.0 0.0 0.03153979502357112 0.0
