   log r        N(log r)        S(log r)        V(log r)
  
  -1.12        3.99E+00        5.91E-01        1.08E-01    
  -1.07        3.11E+00        5.92E-01        1.22E-01    
  -0.98        2.04E+00        5.94E-01        1.51E-01    
  -0.92        1.77E+00        6.70E-01        1.95E-01    
  -0.84        1.31E+00        7.28E-01        2.56E-01    
  -0.76        9.76E-01        7.88E-01        3.35E-01    
  -0.69        7.93E-01        8.78E-01        4.37E-01    
  -0.61        6.08E-01        9.62E-01        5.73E-01    
  -0.54        4.79E-01        1.06E+00        7.48E-01    
  -0.46        3.64E-01        1.14E+00        9.57E-01    
  -0.39        2.64E-01        1.17E+00        1.17E+00    
  -0.31        1.77E-01        1.12E+00        1.33E+00    
  -0.22        1.01E-01        9.61E-01        1.40E+00    
  -0.15        6.17E-02        7.97E-01        1.36E+00    
  -0.10        3.67E-02        6.19E-01        1.20E+00    
   0.00        1.54E-02        4.05E-01        9.83E-01    
   0.06        7.62E-03        2.65E-01        7.41E-01    
   0.15        2.94E-03        1.52E-01        5.17E-01    
   0.22        1.16E-03        8.32E-02        3.34E-01    
   0.29        4.12E-04        4.12E-02        1.95E-01    
   0.37        1.25E-04        1.82E-02        1.04E-01    
   0.44        3.59E-05        7.16E-03        4.78E-02    
   0.52        8.09E-06        2.32E-03        1.86E-02    
   0.59        1.75E-06        7.01E-04        6.64E-03    
   0.67        2.06E-07        1.18E-04        1.33E-03    
