  log r        N(log r)        S(log r)        V(log r)
  
  -1.12        1.66E+00        7.29E-02        5.32E-03    
  -1.07        1.43E+00        8.04E-02        6.64E-03    
  -0.98        1.21E+00        1.04E-01        1.06E-02    
  -0.92        1.32E+00        1.48E-01        1.73E-02    
  -0.84        1.26E+00        2.07E-01        2.92E-02    
  -0.76        1.18E+00        2.81E-01        4.78E-02    
  -0.69        1.18E+00        3.87E-01        7.71E-02    
  -0.61        1.06E+00        4.96E-01        1.18E-01    
  -0.54        9.42E-01        6.17E-01        1.74E-01    
  -0.46        8.07E-01        7.49E-01        2.51E-01    
  -0.39        6.66E-01        8.73E-01        3.48E-01    
  -0.31        5.16E-01        9.65E-01        4.60E-01    
  -0.22        3.56E-01        1.00E+00        5.83E-01    
  -0.15        2.73E-01        1.04E+00        7.10E-01    
  -0.10        2.13E-01        1.06E+00        8.28E-01    
   0.00        1.22E-01        9.53E-01        9.26E-01    
   0.06        8.66E-02        8.93E-01        9.98E-01    
   0.15        5.00E-02        7.63E-01        1.04E+00    
   0.22        3.09E-02        6.55E-01        1.05E+00    
   0.29        1.84E-02        5.46E-01        1.04E+00    
   0.37        1.01E-02        4.36E-01        9.95E-01    
   0.44        5.87E-03        3.46E-01        9.26E-01    
   0.52        3.00E-03        2.55E-01        8.19E-01    
   0.59        1.50E-03        1.78E-01        6.75E-01    
   0.67        6.63E-04        1.12E-01        5.05E-01    
   0.74        2.64E-04        6.24E-02        3.34E-01    
   0.81        9.06E-05        2.99E-02        1.89E-01    
   0.90        2.26E-05        1.13E-02        8.77E-02    
   0.98        4.91E-06        3.45E-03        3.19E-02    
   1.04        9.22E-07        8.70E-04        9.30E-03    
   1.11        7.98E-08        1.05E-04        1.33E-03    
